time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,10,10,10,0.00015800000000032455,0.00023299999999970566,5.8999999999809205e-05,10,10,10,0.00015800000000032455,0.00023299999999970566,5.8999999999809205e-05,0.13645857877309642,0.011488755730909572,0.13645857877309642
1,10,10,10,4.500000000007276e-05,9.600000000009601e-05,3.500000000000725e-05,20,20,20,0.0002030000000003973,0.0003289999999998017,9.399999999981645e-05,0.5341313769759259,0.5341313769759259,0.5341313769759259
2,10,10,10,3.900000000012227e-05,0.000144000000000144,3.900000000012227e-05,30,30,30,0.00024200000000051958,0.0004729999999999457,0.00013299999999993872,0.46121616037799096,0.46121616037799096,0.46121616037799096
3,10,10,10,4.000000000026205e-05,0.00010400000000032605,4.2000000000097515e-05,40,40,40,0.0002820000000007816,0.0005770000000002717,0.00017500000000003624,0.43453930424918874,0.43453930424918874,0.43453930424918874
4,10,10,10,3.2000000000032e-05,9.69999999997917e-05,2.899999999961267e-05,50,50,50,0.00031400000000081363,0.0006740000000000634,0.0002039999999996489,0.4880845432129397,0.4880845432129397,0.4880845432129397
5,10,10,10,3.0999999999892225e-05,6.899999999987472e-05,3.500000000000725e-05,60,60,60,0.00034500000000070585,0.0007429999999999382,0.00023899999999965615,0.5115337796555772,0.5115337796555772,0.5115337796555772
6,10,10,10,3.900000000012227e-05,0.00010500000000002174,4.2000000000097515e-05,70,70,70,0.0003840000000008281,0.0008479999999999599,0.00028099999999975367,0.39842748752892443,0.39842748752892443,0.39842748752892443
7,10,10,10,0.00018600000000024153,0.00010900000000013677,5.999999999994898e-05,80,80,80,0.0005700000000010697,0.0009570000000000967,0.00034099999999970265,0.32493674656210847,0.2518850512819727,0.32493674656210847
8,10,10,10,3.2000000000032e-05,0.00010000000000021103,5.500000000013827e-05,90,90,90,0.0006020000000011017,0.0010570000000003077,0.0003959999999998409,0.38999604311897984,0.3065462254180704,0.38999604311897984
9,10,10,10,3.500000000000725e-05,0.00010300000000018628,5.599999999983396e-05,100,100,100,0.0006370000000011089,0.001160000000000494,0.0004519999999996749,0.3590659281255302,0.17844186483355318,0.3590659281255302
