time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,20,20,20,0.00010799999999999699,0.0001289999999998237,6.700000000003925e-05,20,20,20,0.00010799999999999699,0.0001289999999998237,6.700000000003925e-05,0.28245306262293235,0.28245306262293235,0.28245306262293235
1,20,20,20,5.599999999983396e-05,0.00015400000000020952,5.2999999999858716e-05,40,40,40,0.00016399999999983095,0.0002830000000000332,0.00011999999999989797,0.8601937863573452,1.002142629182448,0.8601937863573452
2,20,20,20,5.199999999971894e-05,0.00011900000000020228,5.100000000002325e-05,60,60,60,0.00021599999999954989,0.0004020000000002355,0.00017099999999992122,0.7465281583216159,0.7948584165692929,0.7465281583216159
3,20,14,20,5.2999999999858716e-05,0.00012100000000003774,7.100000000015427e-05,80,74,80,0.0002689999999994086,0.0005230000000002732,0.0002420000000000755,0.706653804043661,0.7948584165692929,0.706653804043661
4,20,9,20,4.900000000018778e-05,9.099999999984121e-05,6.799999999973494e-05,100,83,100,0.0003179999999995964,0.0006140000000001145,0.00030999999999981043,0.7689235449454428,0.7948584165692929,0.7689235449454428
5,20,4,20,5.3000000000302805e-05,7.899999999994023e-05,7.199999999984996e-05,120,87,120,0.0003709999999998992,0.0006930000000000547,0.0003819999999996604,0.8103910382288371,0.7948584165692929,0.8103910382288371
6,20,4,20,5.799999999966943e-05,9.400000000026054e-05,7.49999999998252e-05,140,91,140,0.0004289999999995686,0.0007870000000003152,0.0004569999999994856,0.633166686034166,0.7948584165692929,0.633166686034166
7,20,4,20,5.999999999994898e-05,8.300000000005525e-05,0.00019999999999997797,160,95,160,0.0004889999999995176,0.0008700000000003705,0.0006569999999994636,0.5306804591940246,0.7948584165692929,0.5306804591940246
8,20,4,20,4.999999999988347e-05,8.000000000008001e-05,7.599999999996498e-05,180,99,180,0.0005389999999994011,0.0009500000000004505,0.0007329999999994286,0.5264329071942131,0.7948584165692929,0.5264329071942131
9,20,4,20,5.699999999997374e-05,8.000000000008001e-05,8.000000000008001e-05,200,103,200,0.0005959999999993748,0.0010300000000005305,0.0008129999999995086,0.4541625656459445,0.7948584165692929,0.4541625656459445
