time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,100,100,100,0.0002519999999996969,0.000360000000000138,0.00024399999999991095,100,100,100,0.0002519999999996969,0.000360000000000138,0.00024399999999991095,0.0028000572778660304,0.1322368778914187,0.0028000572778660304
1,100,100,100,0.00022900000000003473,0.00031299999999978567,0.00024500000000005073,200,200,200,0.00048099999999973164,0.0006729999999999237,0.0004889999999999617,0.004021156066904674,0.06618859293913382,0.004021156066904674
2,100,100,100,0.0002089999999999037,0.00029799999999990945,0.00023200000000000998,300,300,300,0.0006899999999996353,0.0009709999999998331,0.0007209999999999717,0.0027830181716010927,0.07286907606564985,0.0027830181716010927
3,100,100,100,0.0002140000000001585,0.00027700000000008274,0.000236000000000125,400,400,400,0.0009039999999997939,0.0012479999999999158,0.0009570000000000967,0.001827583470862204,0.0719282367916787,0.001827583470862204
4,100,100,100,0.0002199999999996649,0.00028199999999989345,0.00024299999999977118,500,500,500,0.0011239999999994588,0.0015299999999998093,0.0011999999999998678,0.003222229762902762,0.10060592739817986,0.003222229762902762
5,100,100,100,0.0002300000000001745,0.0002990000000000492,0.00025900000000023127,600,600,600,0.0013539999999996333,0.0018289999999998585,0.001459000000000099,0.002638021969966431,0.12458663590788566,0.002638021969966431
6,100,100,100,0.00018099999999998673,0.00025500000000011624,0.00020700000000006824,700,700,700,0.00153499999999962,0.0020839999999999748,0.0016660000000001673,0.0655290987697924,0.06833054698281682,0.0655290987697924
7,100,100,100,0.00018099999999998673,0.0002620000000002065,0.00020700000000006824,800,800,800,0.0017159999999996067,0.0023460000000001813,0.0018730000000002356,0.1617723042968794,0.053886574332115744,0.1617723042968794
8,100,100,100,0.000188000000000077,0.00021800000000027353,0.00021300000000001873,900,900,900,0.0019039999999996837,0.002564000000000455,0.0020860000000002543,0.23506271085307096,0.034898154465979436,0.23506271085307096
9,100,100,73,0.00017900000000015126,0.00024500000000005073,0.00017599999999973193,1000,1000,973,0.002082999999999835,0.0028090000000005055,0.0022619999999999862,0.32158217951340506,0.06044307039673735,0.3042107016440103
10,100,100,46,0.00018500000000010175,0.0002409999999999357,0.00013700000000005375,1100,1100,1019,0.0022679999999999367,0.0030500000000004412,0.00239900000000004,0.36444608456333993,0.09318688492202709,0.332388937367017
11,100,100,20,0.0002149999999998542,0.00025399999999997647,0.00019400000000002748,1200,1200,1039,0.002482999999999791,0.0033040000000004177,0.0025930000000000675,0.40977735187277053,0.17612023888249007,0.33902745319605954
12,100,100,20,0.00022300000000008424,0.00023999999999979593,9.999999999976694e-05,1300,1300,1059,0.002705999999999875,0.0035440000000002136,0.0026929999999998344,0.4609456093714619,0.26439918585836764,0.34214602861260346
