time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,50,50,50,0.00016299999999969117,0.0002199999999996649,0.00015600000000048908,50,50,50,0.00016299999999969117,0.0002199999999996649,0.00015600000000048908,0.0039486296498355555,0.00034970549964274955,0.0039486296498355555
1,50,50,50,0.00011699999999947863,0.00020600000000037255,0.00012599999999984846,100,100,100,0.0002799999999991698,0.00042600000000003746,0.00028200000000033754,0.0007468589086548905,0.005125166277291315,0.0007468589086548905
2,50,50,50,0.00011399999999994748,0.00016999999999978144,0.0001230000000003173,150,150,150,0.0003939999999991173,0.0005959999999998189,0.00040500000000065484,0.001726780869583333,0.008486501893751996,0.001726780869583333
3,50,50,50,0.00012200000000017752,0.00018699999999949313,0.0001299999999995194,200,200,200,0.0005159999999992948,0.000782999999999312,0.0005350000000001742,0.0005236821611174225,0.01457453124789132,0.0005236821611174225
4,50,50,50,0.00011999999999989797,0.00018900000000066086,0.00013299999999993872,250,250,250,0.0006359999999991928,0.0009719999999999729,0.000668000000000113,0.00016289867238072908,0.017371679053224787,0.00016289867238072908
5,50,50,50,0.00011999999999989797,0.00018000000000029104,0.00013299999999993872,300,300,300,0.0007559999999990907,0.001152000000000264,0.0008010000000000517,0.0021099901353192063,0.026715519172155866,0.0021099901353192063
6,50,50,50,0.00011399999999994748,0.000172000000000061,0.00012400000000045708,350,350,350,0.0008699999999990382,0.001324000000000325,0.0009250000000005087,0.009743709460350858,0.033824961591979674,0.009743709460350858
7,50,50,50,0.0001129999999998077,0.00016799999999950188,0.00012200000000017752,400,400,400,0.000982999999998846,0.0014919999999998268,0.0010470000000006863,0.1247343267251726,0.02488201323017769,0.1247343267251726
8,50,50,50,9.600000000009601e-05,0.00015699999999974068,0.00010900000000013677,450,450,450,0.001078999999998942,0.0016489999999995675,0.001156000000000823,0.1733656449459896,0.03600216510857257,0.1733656449459896
9,50,36,36,9.699999999934761e-05,0.00013600000000035806,9.10000000002853e-05,500,486,486,0.0011759999999982895,0.0017849999999999255,0.0012470000000011083,0.2248150746503914,0.03600216510857257,0.213908843066545
10,50,23,23,0.00010400000000032605,9.10000000002853e-05,8.100000000066387e-05,550,509,509,0.0012799999999986156,0.0018760000000002108,0.0013280000000017722,0.300459649158352,0.03600216510857257,0.24427206377347455
11,50,10,10,0.00011799999999961841,0.00010899999999924859,6.699999999959516e-05,600,519,519,0.001397999999998234,0.0019849999999994594,0.0013950000000013674,0.32073742630511015,0.03600216510857257,0.26690323610953315
12,50,10,10,0.00014200000000030855,0.0001010000000007949,0.0017579999999997042,650,529,529,0.0015399999999985425,0.0020860000000002543,0.0031530000000010716,0.28726703509970963,0.03600216510857257,0.26103703500190223
13,50,10,10,0.00014299999999956015,0.00010899999999924859,7.599999999996498e-05,700,539,539,0.0016829999999981027,0.002194999999999503,0.0032290000000010366,0.2562865036988705,0.03600216510857257,0.25690982668871376
14,50,10,10,0.00014300000000044832,0.00010500000000046583,7.200000000029405e-05,750,549,549,0.001825999999998551,0.0022999999999999687,0.0033010000000013306,0.23493019880765909,0.03600216510857257,0.25059616133666707
