time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,20,20,20,0.00011300000000069588,0.0001660000000001105,8.199999999991547e-05,20,20,20,0.00011300000000069588,0.0001660000000001105,8.199999999991547e-05,0.0016407307387914516,0.17651532241457346,0.0016407307387914516
1,20,20,20,6.299999999992423e-05,0.00016999999999978144,6.500000000020378e-05,40,40,40,0.0001760000000006201,0.00033599999999989194,0.00014700000000011926,0.008972360521378064,0.023931263569062278,0.008972360521378064
2,20,20,20,6.100000000053285e-05,0.0001340000000000785,7.700000000010476e-05,60,60,60,0.00023700000000115296,0.00046999999999997044,0.00022400000000022402,0.0053058186356308434,0.07122445720901904,0.0053058186356308434
3,20,20,20,5.8999999999365116e-05,0.0001299999999995194,0.0001020000000000465,80,80,80,0.00029600000000051807,0.0005999999999994898,0.0003260000000002705,0.0018872344718486866,0.06960215299215178,0.0018872344718486866
4,20,20,20,5.599999999983396e-05,0.00012499999999970868,9.399999999981645e-05,100,100,100,0.00035200000000035203,0.0007249999999991985,0.00042000000000008697,0.004030401177369081,0.026159282896453417,0.004030401177369081
5,20,20,20,5.9000000000253294e-05,0.0001230000000003173,7.700000000010476e-05,120,120,120,0.0004110000000006053,0.0008479999999995158,0.0004970000000001917,0.005437771262141844,0.02037534296497634,0.005437771262141844
6,20,20,20,5.8000000000113516e-05,0.00012499999999970868,7.399999999968543e-05,140,140,140,0.00046900000000071884,0.0009729999999992245,0.0005709999999998772,0.05742992503151978,0.012187776585046217,0.05742992503151978
7,20,14,20,4.7999999999603915e-05,0.00010099999999990672,7.100000000015427e-05,160,154,160,0.0005170000000003228,0.0010739999999991312,0.0006420000000000314,0.12920368785193648,0.012187776585046217,0.12920368785193648
8,20,9,20,5.100000000002325e-05,9.300000000056485e-05,7.299999999954565e-05,180,163,180,0.000568000000000346,0.001166999999999696,0.0007149999999995771,0.27761737055646174,0.012187776585046217,0.27761737055646174
9,20,4,14,4.399999999993298e-05,8.500000000033481e-05,5.500000000058236e-05,200,167,194,0.000612000000000279,0.0012520000000000309,0.0007700000000001594,0.30908363255305105,0.012187776585046217,0.2937572811370017
10,20,4,9,4.600000000021254e-05,8.499999999944663e-05,5.3999999999554404e-05,220,171,203,0.0006580000000004915,0.0013369999999994775,0.0008239999999997139,0.3438312406999904,0.012187776585046217,0.3177182844817694
11,20,4,4,5.9999999999504894e-05,8.500000000033481e-05,4.7000000000352316e-05,240,175,207,0.0007179999999999964,0.0014219999999998123,0.0008710000000000662,0.37412437616221794,0.012187776585046217,0.3149072855450472
12,20,4,4,5.9000000000253294e-05,8.699999999972619e-05,5.100000000002325e-05,260,179,211,0.0007770000000002497,0.0015089999999995385,0.0009220000000000894,0.3445899330944642,0.012187776585046217,0.3100669793416133
13,20,4,4,5.8999999999365116e-05,8.500000000033481e-05,5.2999999999414626e-05,280,183,215,0.0008359999999996148,0.0015939999999998733,0.000974999999999504,0.3158425794830473,0.012187776585046217,0.302738639066481
14,20,4,4,6.4000000000064e-05,8.700000000061436e-05,5.400000000044258e-05,300,187,219,0.0008999999999996788,0.0016810000000004877,0.0010289999999999466,0.28647029420307246,0.012187776585046217,0.2963440014114769
15,20,4,4,6.199999999978445e-05,8.599999999958641e-05,5.400000000044258e-05,320,191,223,0.0009619999999994633,0.001767000000000074,0.0010830000000003892,0.2707986876069991,0.012187776585046217,0.2905179245748799
16,20,4,4,6.4000000000064e-05,8.500000000033481e-05,5.3000000000302805e-05,340,195,227,0.0010259999999995273,0.0018520000000004089,0.001136000000000692,0.24895792396909933,0.012187776585046217,0.28206833051537483
