time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,10,10,10,8.09999999997757e-05,0.00010699999999985721,6.299999999992423e-05,10,10,10,8.09999999997757e-05,0.00010699999999985721,6.299999999992423e-05,0.1803354102849294,0.04959168900857658,0.1803354102849294
1,10,10,10,4.399999999993298e-05,0.00013799999999974943,4.999999999988347e-05,20,20,20,0.00012499999999970868,0.00024499999999960664,0.0001129999999998077,0.042332889610999125,0.6486919719814221,0.042332889610999125
2,10,10,10,3.900000000012227e-05,0.00010499999999957765,3.900000000012227e-05,30,30,30,0.00016399999999983095,0.0003499999999991843,0.00015199999999992997,0.03110651210374349,0.2157643541646792,0.03110651210374349
3,10,10,10,3.799999999998249e-05,0.00010500000000046583,3.799999999998249e-05,40,40,40,0.00020199999999981344,0.00045499999999965013,0.00018999999999991246,0.01490496143697806,0.15094815022447472,0.01490496143697806
4,10,10,10,3.999999999937387e-05,0.00010599999999971743,3.799999999998249e-05,50,50,50,0.0002419999999991873,0.0005609999999993676,0.00022799999999989495,0.005623499605485582,0.10797078447983466,0.005623499605485582
5,10,10,10,3.6999999999842714e-05,0.00010499999999957765,4.900000000063187e-05,60,60,60,0.00027899999999903,0.0006659999999989452,0.0002770000000005268,0.012740470221325073,0.06558033978670763,0.012740470221325073
6,10,10,10,3.6000000000591115e-05,0.0001020000000000465,5.100000000002325e-05,70,70,70,0.00031499999999962114,0.0007679999999989917,0.0003280000000005501,0.01019203244594491,0.06828384117854913,0.01019203244594491
7,10,10,10,3.0000000000640625e-05,9.600000000009601e-05,4.399999999993298e-05,80,80,80,0.00034500000000026176,0.0008639999999990877,0.00037200000000048306,0.04974488191009585,0.027689849734158223,0.04974488191009585
8,10,10,10,2.9999999999752447e-05,6.500000000020378e-05,4.399999999993298e-05,90,90,90,0.0003750000000000142,0.0009289999999992915,0.00041600000000041604,0.1287445054659565,0.00016288368412187282,0.1287445054659565
9,10,10,10,3.499999999956316e-05,0.00010099999999990672,4.399999999993298e-05,100,100,100,0.00040999999999957737,0.0010299999999991982,0.000460000000000349,0.23216570037705897,0.0013223581802843665,0.23216570037705897
10,10,10,7,3.5999999999702936e-05,9.999999999976694e-05,4.2999999999793204e-05,110,110,107,0.0004459999999992803,0.0011299999999989652,0.0005030000000001422,0.31174496547706776,0.038579262597806085,0.2819716278150217
11,10,7,4,3.500000000045134e-05,9.200000000042508e-05,4.000000000026205e-05,120,117,111,0.00048099999999973164,0.0012219999999993902,0.0005430000000004043,0.3242191888763527,0.038579262597806085,0.30732239341743806
12,10,4,2,3.799999999998249e-05,8.699999999972619e-05,3.500000000045134e-05,130,121,113,0.0005189999999997141,0.0013089999999991164,0.0005780000000008556,0.29621724391018267,0.038579262597806085,0.3003867218810089
13,10,2,2,3.900000000012227e-05,8.199999999991547e-05,3.499999999956316e-05,140,123,115,0.0005579999999998364,0.001390999999999032,0.0006130000000004188,0.27201085697104654,0.038579262597806085,0.2960825696028505
14,10,2,2,3.500000000045134e-05,8.199999999991547e-05,3.500000000045134e-05,150,125,117,0.0005930000000002877,0.0014729999999989474,0.0006480000000008701,0.25810350781333147,0.038579262597806085,0.2879647757108357
15,10,2,2,4.1999999999653426e-05,8.09999999997757e-05,3.6999999999842714e-05,160,127,119,0.0006349999999999412,0.001553999999998723,0.0006850000000007128,0.23577085434639722,0.038579262597806085,0.2874665882306007
16,10,2,2,4.1000000000401826e-05,8.300000000005525e-05,3.5999999999702936e-05,170,129,121,0.000676000000000343,0.0016369999999987783,0.0007210000000004158,0.2190823285907737,0.038579262597806085,0.2807327099208591
