time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,10,10,10,8.499999999989072e-05,0.00010500000000002174,4.7999999999603915e-05,10,10,10,8.499999999989072e-05,0.00010500000000002174,4.7999999999603915e-05,0.47686442644658333,8.43691142275561,0.47686442644658333
1,10,10,10,3.500000000000725e-05,7.299999999998974e-05,3.6000000000147026e-05,20,20,20,0.00011999999999989797,0.00017800000000001148,8.399999999975094e-05,0.10109025102135094,0.10109025102135094,0.10109025102135094
2,10,10,10,3.400000000031156e-05,0.0001289999999998237,3.799999999998249e-05,30,30,30,0.00015400000000020952,0.0003069999999998352,0.00012199999999973343,0.0031915638368211763,0.0031915638368211763,0.0031915638368211763
3,10,10,10,3.6000000000147026e-05,0.0001020000000000465,3.900000000012227e-05,40,40,40,0.00019000000000035655,0.0004089999999998817,0.0001609999999998557,0.010237338875350055,0.4118273059641653,0.010237338875350055
4,10,10,10,3.6000000000147026e-05,0.0001020000000000465,3.899999999967818e-05,50,50,50,0.00022600000000050358,0.0005109999999999282,0.00019999999999953388,0.0057826222057393295,0.16632082284899607,0.0057826222057393295
5,10,10,10,3.500000000000725e-05,9.599999999965192e-05,5.3000000000302805e-05,60,60,60,0.0002610000000005108,0.0006069999999995801,0.0002529999999998367,0.006057706509446481,0.07133479207550619,0.006057706509446481
6,10,10,10,3.0999999999892225e-05,9.099999999984121e-05,4.8000000000048004e-05,70,70,70,0.00029200000000040305,0.0006979999999994213,0.0003009999999998847,0.06785941398915596,0.02222948160971272,0.06785941398915596
7,10,10,10,3.2000000000032e-05,9.10000000002853e-05,4.899999999974369e-05,80,80,80,0.00032400000000043505,0.0007889999999997066,0.0003499999999996284,0.20583278741360478,0.04835531342876165,0.20583278741360478
8,10,10,10,2.4000000000246047e-05,8.399999999975094e-05,4.1000000000401826e-05,90,90,90,0.0003480000000006811,0.0008729999999994575,0.0003910000000000302,0.20615470928900526,0.05701130967581236,0.20615470928900526
9,10,10,7,2.9999999999752447e-05,6.199999999978445e-05,4.300000000023729e-05,100,100,97,0.00037800000000043354,0.000934999999999242,0.0004340000000002675,0.32915862519366956,0.11546877734390015,0.31482430482512724
10,10,10,4,3.300000000017178e-05,9.200000000042508e-05,4.2000000000097515e-05,110,110,101,0.0004110000000006053,0.001026999999999667,0.000476000000000365,0.3997531922959412,0.1918933942680363,0.3363461167787375
11,10,10,2,3.1000000000336314e-05,8.900000000000574e-05,3.2000000000032e-05,120,120,103,0.00044200000000094164,0.0011159999999996728,0.000508000000000397,0.4520155769722545,0.33337242219169005,0.3363461167787375
12,10,7,2,3.2000000000032e-05,8.400000000019503e-05,3.7000000000286803e-05,130,127,105,0.00047400000000097364,0.0011999999999998678,0.0005450000000006838,0.5164038110060771,0.33337242219169005,0.3509426878302019
13,10,4,2,3.300000000017178e-05,8.399999999975094e-05,3.6999999999842714e-05,140,131,107,0.0005070000000011454,0.0012839999999996188,0.0005820000000005265,0.5207987658573863,0.33337242219169005,0.35427826247768823
