time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,20,20,20,0.00010900000000013677,0.00012500000000015277,7.50000000002693e-05,20,20,20,0.00010900000000013677,0.00012500000000015277,7.50000000002693e-05,0.06994682549692044,0.25317627928891817,0.06994682549692044
1,20,20,20,5.8000000000113516e-05,0.00016300000000013526,6.700000000003925e-05,40,40,40,0.00016700000000025028,0.000288000000000288,0.00014200000000030855,0.022789237513340277,0.09713197981748078,0.022789237513340277
2,20,20,20,5.600000000027805e-05,0.000128000000000128,7.699999999966067e-05,60,60,60,0.00022300000000052833,0.00041600000000041604,0.00021899999999996922,0.010693546030513423,0.0290008315953022,0.010693546030513423
3,20,20,20,5.3999999999998494e-05,0.000124000000000013,7.49999999998252e-05,80,80,80,0.0002770000000005268,0.000540000000000429,0.0002939999999997944,0.01818467863574935,0.00023815909661095702,0.01818467863574935
4,20,20,20,5.3000000000302805e-05,0.00012200000000017752,6.799999999973494e-05,100,100,100,0.00033000000000082963,0.0006620000000006065,0.00036199999999952936,0.01892363176619516,0.0008870834769750813,0.01892363176619516
5,20,20,20,5.699999999997374e-05,0.00013100000000010326,7.200000000029405e-05,120,120,120,0.00038700000000080337,0.0007930000000007098,0.0004339999999998234,0.03287473297712262,0.015969487753950906,0.03287473297712262
6,20,20,20,5.100000000002325e-05,0.00011500000000008725,6.500000000020378e-05,140,140,140,0.0004380000000008266,0.0009080000000007971,0.0004990000000000272,0.06327967646392696,0.010957372705843738,0.06327967646392696
7,20,20,20,4.300000000023729e-05,0.00010699999999985721,5.8999999999809205e-05,160,160,160,0.0004810000000010639,0.0010150000000006543,0.0005579999999998364,0.09386133956131049,0.015517953369551418,0.09386133956131049
8,20,20,20,5.200000000016303e-05,8.499999999989072e-05,6.500000000020378e-05,180,180,180,0.0005330000000012269,0.001100000000000545,0.0006230000000000402,0.17087987302117202,0.03846742250916535,0.17087987302117202
9,20,20,14,5.100000000002325e-05,0.00011500000000008725,5.500000000013827e-05,200,200,194,0.0005840000000012502,0.0012150000000006322,0.0006780000000001785,0.22432810733326014,0.12604826589905294,0.21997160699780283
10,20,20,9,4.899999999974369e-05,0.00011099999999997223,4.900000000018778e-05,220,220,203,0.0006330000000009939,0.0013260000000006045,0.0007270000000003662,0.29119898714599945,0.1630788415544815,0.23248788453020652
11,20,14,4,5.500000000013827e-05,0.00011000000000027654,4.099999999995774e-05,240,234,207,0.0006880000000011322,0.001436000000000881,0.000768000000000324,0.3471148556880347,0.1630788415544815,0.25939648372175794
12,20,9,4,5.099999999957916e-05,9.999999999976694e-05,4.2000000000097515e-05,260,243,211,0.0007390000000007113,0.001536000000000648,0.0008100000000004215,0.40541660435417226,0.1630788415544815,0.2743167470500063
13,20,4,4,5.400000000044258e-05,9.000000000014552e-05,4.6999999999908226e-05,280,247,215,0.0007930000000011539,0.0016260000000007935,0.0008570000000003297,0.41201573034391514,0.1630788415544815,0.2741416694372776
14,20,4,4,5.999999999994898e-05,8.799999999986596e-05,5.8000000000113516e-05,300,251,219,0.0008530000000011029,0.0017140000000006594,0.0009150000000004432,0.385062717001292,0.1630788415544815,0.2644542208279079
15,20,4,4,6.299999999992423e-05,8.900000000000574e-05,5.500000000013827e-05,320,255,223,0.0009160000000010271,0.0018030000000006652,0.0009700000000005815,0.36080263388421163,0.1630788415544815,0.2578477245288513
16,20,4,4,5.500000000013827e-05,8.700000000017027e-05,4.8000000000048004e-05,340,259,227,0.0009710000000011654,0.0018900000000008355,0.0010180000000006295,0.39886881294909404,0.1630788415544815,0.2632988766451525
17,20,4,4,5.3999999999998494e-05,9.600000000009601e-05,5.000000000032756e-05,360,263,231,0.0010250000000011639,0.0019860000000009315,0.001068000000000957,0.42158231484563213,0.1630788415544815,0.28129304685854417
18,20,4,4,5.8000000000113516e-05,8.800000000031005e-05,4.8000000000048004e-05,380,267,235,0.0010830000000012774,0.0020740000000012415,0.001116000000001005,0.4388736547839672,0.1630788415544815,0.2996987196483448
19,20,4,4,5.8000000000113516e-05,8.399999999975094e-05,4.599999999976845e-05,400,271,239,0.001141000000001391,0.0021580000000009925,0.0011620000000007735,0.4782915410423073,0.1630788415544815,0.31304336609053895
20,20,4,4,5.8999999999809205e-05,8.500000000033481e-05,4.6999999999908226e-05,420,275,243,0.0012000000000012,0.0022430000000013273,0.0012090000000006818,0.49709010729993275,0.1630788415544815,0.32388432423742186
21,20,4,4,5.700000000041783e-05,8.500000000033481e-05,5.599999999983396e-05,440,279,247,0.001257000000001618,0.002328000000001662,0.0012650000000005157,0.5188945435454995,0.1630788415544815,0.3297439674499276
22,20,4,4,5.8000000000113516e-05,8.400000000019503e-05,4.300000000023729e-05,460,283,251,0.0013150000000017315,0.002412000000001857,0.001308000000000753,0.5355200474543873,0.1630788415544815,0.3404272884506305
23,20,4,4,6.099999999964467e-05,8.09999999997757e-05,4.2999999999793204e-05,480,287,255,0.0013760000000013761,0.002493000000001633,0.0013510000000005462,0.5569038202852263,0.1630788415544815,0.36357842088388304
24,20,4,4,6.000000000039307e-05,8.399999999975094e-05,4.2000000000097515e-05,500,291,259,0.0014360000000017692,0.0025770000000013837,0.0013930000000006437,0.5645676485412725,0.1630788415544815,0.37167245993297005
25,20,4,4,6.599999999989947e-05,5.999999999994898e-05,4.399999999993298e-05,520,295,263,0.0015020000000016687,0.0026370000000013327,0.0014370000000005767,0.5756763424400784,0.1630788415544815,0.37429105042920296
26,20,4,4,7.50000000002693e-05,8.700000000017027e-05,4.399999999993298e-05,540,299,267,0.001577000000001938,0.002724000000001503,0.0014810000000005097,0.5416454949758305,0.1630788415544815,0.3729840590160265
27,20,4,4,7.699999999966067e-05,8.60000000000305e-05,4.599999999976845e-05,560,303,271,0.0016540000000015986,0.0028100000000015335,0.0015270000000002781,0.51039235760023,0.1630788415544815,0.36526803918306916
28,20,4,4,7.400000000012952e-05,8.400000000019503e-05,4.500000000007276e-05,580,307,275,0.0017280000000017282,0.0028940000000017285,0.001572000000000351,0.48377630448842224,0.1630788415544815,0.35900281299450554
29,20,4,4,7.599999999996498e-05,8.60000000000305e-05,4.500000000007276e-05,600,311,279,0.0018040000000016931,0.002980000000001759,0.0016170000000004237,0.45918458857472055,0.1630788415544815,0.3547494521270751
30,20,4,4,7.49999999998252e-05,9.499999999995623e-05,4.8000000000048004e-05,620,315,283,0.0018790000000015183,0.0030750000000017153,0.0016650000000004717,0.4398725054440773,0.1630788415544815,0.3468321493981563
31,20,9,4,8.000000000008001e-05,0.00010099999999990672,4.500000000007276e-05,640,324,287,0.0019590000000015984,0.003176000000001622,0.0017100000000005444,0.4207577052117001,0.1500188667668012,0.3415107560037035
32,20,14,4,6.700000000003925e-05,0.00010799999999999699,4.399999999993298e-05,660,338,291,0.0020260000000016376,0.003284000000001619,0.0017540000000004774,0.4201291593004315,0.15508344139858832,0.3458780345818654
33,20,20,4,7.199999999984996e-05,0.00011200000000011201,4.500000000007276e-05,680,358,295,0.0020980000000014876,0.003396000000001731,0.0017990000000005502,0.4288199829887306,0.19490368758857146,0.3528743289810985
34,20,20,9,6.799999999973494e-05,0.00011500000000008725,5.200000000016303e-05,700,378,304,0.0021660000000012225,0.0035110000000018182,0.0018510000000007132,0.44213693433737766,0.24096483370605903,0.35572519084883847
35,20,14,14,7.100000000015427e-05,0.00010100000000035081,5.9000000000253294e-05,720,392,318,0.0022370000000013768,0.003612000000002169,0.0019100000000009665,0.45100447579584624,0.24096483370605903,0.359422510716235
36,20,9,20,7.299999999998974e-05,9.300000000012076e-05,6.700000000003925e-05,740,401,338,0.0023100000000013665,0.00370500000000229,0.0019770000000010057,0.4747907955008377,0.24096483370605903,0.3897413606742517
37,20,4,14,7.400000000012952e-05,8.60000000000305e-05,6.100000000008876e-05,760,405,352,0.002384000000001496,0.0037910000000023203,0.0020380000000010945,0.4759975432505825,0.24096483370605903,0.38924481077151785
38,20,4,9,8.199999999991547e-05,8.499999999989072e-05,5.8999999999809205e-05,780,409,361,0.0024660000000014115,0.003876000000002211,0.0020970000000009037,0.4612379447377011,0.24096483370605903,0.3775876701708838
39,20,4,4,8.60000000000305e-05,8.699999999972619e-05,4.999999999988347e-05,800,413,365,0.002552000000001442,0.003963000000001937,0.002147000000000787,0.44549550749445066,0.24096483370605903,0.3706556540088777
40,20,4,4,8.300000000005525e-05,8.700000000017027e-05,4.8000000000048004e-05,820,417,369,0.0026350000000014973,0.0040500000000021075,0.002195000000000835,0.4322618981454541,0.24096483370605903,0.3668242574140903
