time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,100,100,100,0.0002690000000002968,0.00031300000000022976,0.00026100000000006673,100,100,100,0.0002690000000002968,0.00031300000000022976,0.00026100000000006673,0.010510575289945367,0.05490990551420283,0.010510575289945367
1,100,100,100,0.00022100000000069286,0.00030399999999985994,0.00022400000000022402,200,200,200,0.0004900000000009896,0.0006170000000000897,0.00048500000000029075,0.009110925867256703,0.05857425492866497,0.009110925867256703
2,100,100,100,0.00020500000000023277,0.00027600000000038705,0.00022900000000003473,300,300,300,0.0006950000000012224,0.0008930000000004767,0.0007140000000003255,0.004455022466175462,0.06192650118205878,0.004455022466175462
3,100,100,100,0.0002149999999998542,0.0002909999999998192,0.0002410000000008239,400,400,400,0.0009100000000010766,0.001184000000000296,0.0009550000000011494,0.002092676622731604,0.04264743470384935,0.002092676622731604
4,100,100,100,0.00021200000000032304,0.00028100000000019776,0.0002369999999993766,500,500,500,0.0011220000000013997,0.0014650000000004937,0.001192000000000526,0.001228338210603197,0.06316751022723188,0.001228338210603197
5,100,100,100,0.00021399999999971442,0.0003339999999996124,0.00023799999999951638,600,600,600,0.001336000000001114,0.001799000000000106,0.0014300000000000423,0.0007380559606197101,0.04987522211105522,0.0007380559606197101
6,100,100,100,0.00021199999999943486,0.00031399999999948136,0.00023800000000040455,700,700,700,0.001548000000000549,0.0021129999999995874,0.001668000000000447,0.023004559115058942,0.03308953932237668,0.023004559115058942
7,100,100,100,0.0001760000000006201,0.0002400000000006841,0.00019999999999953388,800,800,800,0.001724000000001169,0.0023530000000002715,0.0018679999999999808,0.12611964408100906,0.012939167494627313,0.12611964408100906
8,100,100,100,0.00018199999999968242,0.00022100000000069286,0.00021100000000018326,900,900,900,0.0019060000000008515,0.0025740000000009644,0.002079000000000164,0.2076327613352169,0.02192790563933411,0.2076327613352169
9,100,100,73,0.0001829999999998222,0.0002520000000005851,0.0001769999999998717,1000,1000,973,0.0020890000000006737,0.0028260000000015495,0.0022560000000000358,0.2637877673939636,0.04442926336306574,0.24818143662193148
10,100,100,46,0.0001769999999998717,0.00024499999999960664,0.00016000000000016001,1100,1100,1019,0.0022660000000005454,0.003071000000001156,0.0024160000000001958,0.3021934196757087,0.07167266855614762,0.2708091912307231
11,100,100,20,0.00021700000000013375,0.00026599999999987745,0.00010799999999999699,1200,1200,1039,0.002483000000000679,0.0033370000000010336,0.0025240000000001928,0.3225906975313746,0.08759121684084914,0.2788160921812717
12,100,100,20,0.00024399999999946687,0.0003109999999999502,0.00011099999999952814,1300,1300,1059,0.002727000000000146,0.003648000000000984,0.002634999999999721,0.29005526502481394,0.062413009875093906,0.2721247062372958
13,100,100,20,0.000248000000000026,0.00031800000000004047,0.0001129999999998077,1400,1400,1079,0.002975000000000172,0.003966000000001024,0.0027479999999995286,0.26151465086010983,0.042330564277719196,0.2647213660783716
14,100,100,20,0.00024300000000021527,0.00030700000000027927,0.00011600000000022703,1500,1500,1099,0.0032180000000003872,0.0042730000000013035,0.0028639999999997556,0.2418558345344014,0.03390230950302087,0.25768516455141177
15,100,100,20,0.0002579999999996474,0.0003509999999993241,0.00011699999999947863,1600,1600,1119,0.0034760000000000346,0.004624000000000628,0.0029809999999992343,0.22282286992354416,0.027596413881745607,0.251926399879395
16,100,100,20,0.00027600000000038705,0.00034000000000045105,0.00011899999999975819,1700,1700,1139,0.0037520000000004217,0.004964000000001079,0.0030999999999989925,0.20762144967314922,0.02560677844306647,0.2475923328604912
17,100,100,46,0.0003220000000005996,0.0003479999999997929,0.00016900000000052984,1800,1800,1185,0.004074000000001021,0.005312000000000872,0.0032689999999995223,0.19154241024613383,0.020710682007161196,0.23534847220711175
18,100,100,73,0.00028799999999939985,0.0003479999999997929,0.0002199999999996649,1900,1900,1258,0.004362000000000421,0.0056600000000006645,0.003488999999999187,0.17921015676231478,0.017472291389758143,0.21762847156794107
