time_seconds,base_probes_per_sec,adaptive_probes_per_sec,kl_probes_per_sec,base_cpu_time_per_sec,adaptive_cpu_time_per_sec,kl_cpu_time_per_sec,base_cum_probes,adaptive_cum_probes,kl_cum_probes,base_cum_cpu,adaptive_cum_cpu,kl_cum_cpu,base_kl_vs_gt,adaptive_kl_vs_gt,kl_kl_vs_gt
0,100,100,100,0.00024000000000024002,0.0004300000000001525,0.0002369999999998207,100,100,100,0.00024000000000024002,0.0004300000000001525,0.0002369999999998207,0.3327008305291459,0.07565790567397057,0.3327008305291459
1,100,100,100,0.00016000000000016001,0.00026599999999987745,0.00019400000000002748,200,200,200,0.00040000000000040004,0.0006960000000000299,0.00043099999999984817,0.6365964770300852,0.5715311267782721,0.6365964770300852
2,100,100,100,0.00018099999999998673,0.00025599999999981193,0.0002149999999998542,300,300,300,0.0005810000000003868,0.0009519999999998419,0.0006459999999997024,0.6300622327845438,0.5623549384103939,0.6300622327845438
3,100,73,73,0.00018399999999996197,0.00021199999999987895,0.00017300000000020077,400,373,373,0.0007650000000003487,0.0011639999999997208,0.0008189999999999031,0.6531480707455022,0.5623549384103939,0.6398195516701204
4,100,46,46,0.00018599999999979744,0.00015300000000006975,0.00011400000000039157,500,419,419,0.0009510000000001462,0.0013169999999997906,0.0009330000000002947,0.7447580697741523,0.5623549384103939,0.7040317877030717
5,100,20,20,0.00017999999999984695,0.00012000000000034206,8.699999999972619e-05,600,439,439,0.0011309999999999931,0.0014370000000001326,0.0010200000000000209,0.7977460111667596,0.5623549384103939,0.7111276538362452
6,100,20,20,0.00022999999999973042,0.00014100000000016877,9.600000000009601e-05,700,459,459,0.0013609999999997235,0.0015780000000003014,0.001116000000000117,0.6253964396712659,0.5623549384103939,0.6481676826079725
7,100,20,20,0.0002409999999999357,0.00013100000000010326,9.600000000009601e-05,800,479,479,0.0016019999999996593,0.0017090000000004046,0.001212000000000213,0.5290541311813228,0.5623549384103939,0.6072624771313084
8,100,20,20,0.00022199999999994446,0.00012200000000017752,8.699999999972619e-05,900,499,499,0.0018239999999996037,0.0018310000000005822,0.001298999999999939,0.5131685961387848,0.5623549384103939,0.6130879291906646
9,100,20,20,0.000248000000000026,0.00011899999999975819,8.60000000000305e-05,1000,519,519,0.0020719999999996297,0.0019500000000003403,0.0013849999999999696,0.45152758424915707,0.5623549384103939,0.5861603794822658
